key,s2_66,s3_66,province,district_number,s1_69,winner_party,s_2566,s_2569,diff
กรุงเทพมหานคร_11,0.21675616150000487,0.1427207079025075,กรุงเทพมหานคร,11,0.3868948860653155,ประชาชน,0.35947686940251233,0.3868948860653155,-0.02741801666280319
กรุงเทพมหานคร_14,0.2857142857142857,0.1720803761620088,กรุงเทพมหานคร,14,0.4145254031714658,ประชาชน,0.4577946618762945,0.4145254031714658,0.04326925870482867
กรุงเทพมหานคร_15,0.2931359774847553,0.15751289935894094,กรุงเทพมหานคร,15,0.4051829164152254,ประชาชน,0.45064887684369626,0.4051829164152254,0.04546596042847084
กรุงเทพมหานคร_18,0.1923145586003749,0.16561412121753102,กรุงเทพมหานคร,18,0.3914584910421398,ประชาชน,0.35792867981790594,0.3914584910421398,-0.033529811224233874
กรุงเทพมหานคร_19,0.26346465404828706,0.16967637412573597,กรุงเทพมหานคร,19,0.4291452924877875,ประชาชน,0.433141028174023,0.4291452924877875,0.003995735686235513
กรุงเทพมหานคร_25,0.303296679649674,0.13195326117363518,กรุงเทพมหานคร,25,0.4080910946918141,ประชาชน,0.43524994082330914,0.4080910946918141,0.02715884613149505
กรุงเทพมหานคร_31,0.21347349772217802,0.16703123870127992,กรุงเทพมหานคร,31,0.4180072804133396,ประชาชน,0.38050473642345795,0.4180072804133396,-0.037502543989881676
กรุงเทพมหานคร_7,0.24971649355210998,0.1732851623262582,กรุงเทพมหานคร,7,0.4415521978021978,ประชาชน,0.4230016558783682,0.4415521978021978,-0.0185505419238296
กรุงเทพมหานคร_8,0.23260369408742734,0.16822973934415628,กรุงเทพมหานคร,8,0.4194185385118965,ประชาชน,0.4008334334315836,0.4194185385118965,-0.018585105080312858
กาญจนบุรี_1,0.24327954446567412,0.1878133217305764,กาญจนบุรี,1,0.3983406973393526,เพื่อไทย,0.43109286619625053,0.3983406973393526,0.03275216885689791
กาญจนบุรี_2,0.18719481628636675,0.17592506637455674,กาญจนบุรี,2,0.39663355524287547,ภูมิใจไทย,0.3631198826609235,0.39663355524287547,-0.03351367258195198
กาญจนบุรี_5,0.24310688457377141,0.1820283582939468,กาญจนบุรี,5,0.43756648778988677,เพื่อไทย,0.4251352428677182,0.43756648778988677,-0.012431244922168572
กาฬสินธุ์_5,0.33261218939300286,0.1563646103762311,กาฬสินธุ์,5,0.525277791139545,ภูมิใจไทย,0.4889767997692339,0.525277791139545,-0.036300991370311064
กำแพงเพชร_1,0.27301796915530824,0.17414516813658446,กำแพงเพชร,1,0.4667018388454732,กล้าธรรม,0.4471631372918927,0.4667018388454732,-0.019538701553580506
กำแพงเพชร_2,0.22897700388000378,0.17474212169963094,กำแพงเพชร,2,0.4157521048883676,กล้าธรรม,0.40371912557963474,0.4157521048883676,-0.012032979308732872
กำแพงเพชร_3,0.20745423026510507,0.20701027440700182,กำแพงเพชร,3,0.38528236732327625,เพื่อไทย,0.4144645046721069,0.38528236732327625,0.029182137348830628
กำแพงเพชร_4,0.2226192914192095,0.19692811796027032,กำแพงเพชร,4,0.4213357937116564,เพื่อไทย,0.4195474093794798,0.4213357937116564,-0.0017883843321765958
ขอนแก่น_10,0.26331133292150294,0.16456958307593936,ขอนแก่น,10,0.44330720092915216,ภูมิใจไทย,0.42788091599744227,0.44330720092915216,-0.015426284931709888
ขอนแก่น_6,0.32136336640197094,0.18194716350278262,ขอนแก่น,6,0.5010137287841048,ภูมิใจไทย,0.5033105299047536,0.5010137287841048,0.0022968011206487837
ขอนแก่น_7,0.22926287246297034,0.16578488638796293,ขอนแก่น,7,0.3645185985769612,เพื่อไทย,0.39504775885093324,0.3645185985769612,0.030529160273972067
ขอนแก่น_8,0.1946116870784262,0.17512016995114885,ขอนแก่น,8,0.3547152009829735,กล้าธรรม,0.369731857029575,0.3547152009829735,0.015016656046601518
จันทบุรี_3,0.19321456147950056,0.16970187762481403,จันทบุรี,3,0.31395843051884104,ภูมิใจไทย,0.3629164391043146,0.31395843051884104,0.048958008585473556
ฉะเชิงเทรา_3,0.3079544150490365,0.19380666119364776,ฉะเชิงเทรา,3,0.5047602597059511,กล้าธรรม,0.5017610762426843,0.5047602597059511,-0.0029991834632667747
ฉะเชิงเทรา_4,0.21957756260979694,0.21583527393062876,ฉะเชิงเทรา,4,0.38632535347863817,กล้าธรรม,0.43541283654042573,0.38632535347863817,0.04908748306178756
ชลบุรี_4,0.2637363804345518,0.2594460845740501,ชลบุรี,4,0.5141697505073415,ภูมิใจไทย,0.5231824650086019,0.5141697505073415,0.0090127145012604
ชลบุรี_5,0.303831362541782,0.21599036768141466,ชลบุรี,5,0.510725219367852,ภูมิใจไทย,0.5198217302231967,0.510725219367852,0.009096510855344686
ชลบุรี_7,0.3131807572614108,0.1501988243430152,ชลบุรี,7,0.44926194883478093,ประชาชน,0.46337958160442605,0.44926194883478093,0.014117632769645116
ชัยนาท_1,0.2692221079943212,0.16066970186517843,ชัยนาท,1,0.39462404734783985,เพื่อไทย,0.42989180985949965,0.39462404734783985,0.035267762511659806
ชัยภูมิ_1,0.2509054409238602,0.22649475361658974,ชัยภูมิ,1,0.5238733905579399,เพื่อไทย,0.4774001945404499,0.5238733905579399,-0.046473196017490004
ชุมพร_1,0.2963578758740451,0.14402231643897617,ชุมพร,1,0.44231377954765916,ภูมิใจไทย,0.4403801923130213,0.44231377954765916,-0.001933587234637879
ชุมพร_2,0.23231104932190438,0.14287424157329234,ชุมพร,2,0.32741412578234425,ภูมิใจไทย,0.3751852908951967,0.32741412578234425,0.047771165112852454
ชุมพร_3,0.2699317638023218,0.1639441113047588,ชุมพร,3,0.4281237211105607,ภูมิใจไทย,0.4338758751070806,0.4281237211105607,0.005752153996519904
ตรัง_1,0.2059627499583607,0.1879059833246789,ตรัง,1,0.36027912312006116,ภูมิใจไทย,0.3938687332830396,0.36027912312006116,0.033589610162978456
ตาก_1,0.19428530507018046,0.18809975651675737,ตาก,1,0.37622781320006893,ภูมิใจไทย,0.38238506158693786,0.37622781320006893,0.00615724838686893
ตาก_3,0.1759144921961983,0.14336322597623433,ตาก,3,0.3302376305820227,กล้าธรรม,0.31927771817243267,0.3302376305820227,-0.010959912409590045
นครนายก_1,0.2976428191646482,0.15869321202812076,นครนายก,1,0.4128958506280535,กล้าธรรม,0.45633603119276894,0.4128958506280535,0.043440180564715436
นครนายก_2,0.27512840974228137,0.16191428860440807,นครนายก,2,0.40069660771664745,ภูมิใจไทย,0.4370426983466894,0.40069660771664745,0.03634609063004196
นครปฐม_2,0.3211058799959932,0.1549133526995893,นครปฐม,2,0.4707079949674025,กล้าธรรม,0.47601923269558255,0.4707079949674025,0.0053112377281800405
นครปฐม_6,0.20237826755509994,0.18001025115325475,นครปฐม,6,0.39302122073944434,ประชาชน,0.38238851870835466,0.39302122073944434,-0.01063270203108968
นครพนม_4,0.21684020824989989,0.20865038045654785,นครพนม,4,0.4262098942954678,เพื่อไทย,0.42549058870644774,0.4262098942954678,-0.0007193055890200584
นครราชสีมา_1,0.2897539149888143,0.091712652249565,นครราชสีมา,1,0.3599435327333686,ประชาชน,0.3814665672383793,0.3599435327333686,0.021523034505010696
นครราชสีมา_13,0.1846568596234265,0.1709864357129211,นครราชสีมา,13,0.3659957627118644,เพื่อไทย,0.35564329533634764,0.3659957627118644,-0.01035246737551676
นครราชสีมา_14,0.2470606531881804,0.15733540694660444,นครราชสีมา,14,0.36252937666670726,ประชาชน,0.40439606013478485,0.36252937666670726,0.04186668346807759
นครราชสีมา_15,0.26223086461503775,0.1252113628677714,นครราชสีมา,15,0.38134045869516814,เพื่อไทย,0.38744222748280915,0.38134045869516814,0.006101768787641015
นครราชสีมา_16,0.2547480659817445,0.14920592689615653,นครราชสีมา,16,0.35961410913476033,ภูมิใจไทย,0.403953992877901,0.35961410913476033,0.044339883743140684
นครราชสีมา_2,0.2805704366005264,0.09192130364175984,นครราชสีมา,2,0.39337992602449784,เพื่อไทย,0.3724917402422862,0.39337992602449784,-0.020888185782211632
นครราชสีมา_5,0.28512117503059975,0.15327294981640147,นครราชสีมา,5,0.4082790248612117,เพื่อไทย,0.43839412484700124,0.4082790248612117,0.03011509998578954
นครราชสีมา_9,0.24480242736373525,0.180355520954976,นครราชสีมา,9,0.456282577886671,ภูมิใจไทย,0.42515794831871123,0.456282577886671,-0.03112462956795975
นครศรีธรรมราช_1,0.2073833983409328,0.19012250727901994,นครศรีธรรมราช,1,0.39429439316856607,ประชาธิปัตย์,0.39750590561995275,0.39429439316856607,0.0032115124513866777
นครศรีธรรมราช_5,0.2510245577808447,0.1092405103298602,นครศรีธรรมราช,5,0.3622641509433962,กล้าธรรม,0.3602650681107049,0.3622641509433962,-0.00199908283269129
นครศรีธรรมราช_6,0.26202442461249414,0.11753170502583372,นครศรีธรรมราช,6,0.4142710161592931,ประชาธิปัตย์,0.37955612963832785,0.4142710161592931,-0.03471488652096527
นครศรีธรรมราช_9,0.2934576957546387,0.12795830982175457,นครศรีธรรมราช,9,0.4487838387950336,ภูมิใจไทย,0.42141600557639325,0.4487838387950336,-0.027367833218640336
นครสวรรค์_6,0.2304917527362417,0.17313601562098557,นครสวรรค์,6,0.4176444099767343,ภูมิใจไทย,0.40362776835722725,0.4176444099767343,-0.014016641619507053
