region,seats_2566,seats_2569,delta
กรุงเทพ,1.0,0.0,-1.0
ปริมณฑล,1.0,1.0,0.0
ภาคกลาง,7.0,4.0,-3.0
ภาคตะวันออก,6.0,1.0,-5.0
ภาคอีสาน,73.0,43.0,-30.0
ภาคเหนือ,24.0,9.0,-15.0
