province,district_label,cat_91
กระบี่,กระบี่ เขต 1,D
กระบี่,กระบี่ เขต 2,D
กระบี่,กระบี่ เขต 3,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 2,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 3,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 4,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 5,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 6,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 7,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 8,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 9,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 10,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 11,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 12,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 13,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 14,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 15,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 16,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 17,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 18,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 19,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 20,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 21,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 22,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 23,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 24,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 25,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 26,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 27,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 28,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 29,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 30,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 31,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 32,D
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 33,D
กาญจนบุรี,กาญจนบุรี เขต 1,D
กาญจนบุรี,กาญจนบุรี เขต 2,D
กาญจนบุรี,กาญจนบุรี เขต 3,D
กาญจนบุรี,กาญจนบุรี เขต 4,D
กาญจนบุรี,กาญจนบุรี เขต 5,D
กาฬสินธุ์,กาฬสินธุ์ เขต 1,D
กาฬสินธุ์,กาฬสินธุ์ เขต 2,D
กาฬสินธุ์,กาฬสินธุ์ เขต 3,D
กาฬสินธุ์,กาฬสินธุ์ เขต 4,D
กาฬสินธุ์,กาฬสินธุ์ เขต 5,D
กาฬสินธุ์,กาฬสินธุ์ เขต 6,D
กำแพงเพชร,กำแพงเพชร เขต 1,D
กำแพงเพชร,กำแพงเพชร เขต 2,D
กำแพงเพชร,กำแพงเพชร เขต 3,D
กำแพงเพชร,กำแพงเพชร เขต 4,D
ขอนแก่น,ขอนแก่น เขต 1,D
ขอนแก่น,ขอนแก่น เขต 2,D
ขอนแก่น,ขอนแก่น เขต 3,D
ขอนแก่น,ขอนแก่น เขต 4,D
ขอนแก่น,ขอนแก่น เขต 5,D
ขอนแก่น,ขอนแก่น เขต 6,D
ขอนแก่น,ขอนแก่น เขต 7,D
ขอนแก่น,ขอนแก่น เขต 8,D
ขอนแก่น,ขอนแก่น เขต 9,D
ขอนแก่น,ขอนแก่น เขต 10,D
ขอนแก่น,ขอนแก่น เขต 11,D
จันทบุรี,จันทบุรี เขต 1,D
จันทบุรี,จันทบุรี เขต 2,D
จันทบุรี,จันทบุรี เขต 3,D
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 1,D
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 2,D
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 3,D
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 4,D
ชลบุรี,ชลบุรี เขต 1,D
ชลบุรี,ชลบุรี เขต 2,D
ชลบุรี,ชลบุรี เขต 3,D
ชลบุรี,ชลบุรี เขต 4,D
ชลบุรี,ชลบุรี เขต 5,D
ชลบุรี,ชลบุรี เขต 6,D
ชลบุรี,ชลบุรี เขต 7,D
ชลบุรี,ชลบุรี เขต 8,D
ชลบุรี,ชลบุรี เขต 9,D
ชลบุรี,ชลบุรี เขต 10,D
ชัยนาท,ชัยนาท เขต 1,D
ชัยนาท,ชัยนาท เขต 2,D
ชัยภูมิ,ชัยภูมิ เขต 1,D
ชัยภูมิ,ชัยภูมิ เขต 2,D
ชัยภูมิ,ชัยภูมิ เขต 3,D
ชัยภูมิ,ชัยภูมิ เขต 4,D
ชัยภูมิ,ชัยภูมิ เขต 5,D
ชัยภูมิ,ชัยภูมิ เขต 6,D
ชัยภูมิ,ชัยภูมิ เขต 7,D
ชุมพร,ชุมพร เขต 1,D
ชุมพร,ชุมพร เขต 2,D
ชุมพร,ชุมพร เขต 3,D
ตรัง,ตรัง เขต 1,D
ตรัง,ตรัง เขต 2,D
ตรัง,ตรัง เขต 3,D
ตรัง,ตรัง เขต 4,D
ตราด,ตราด เขต 1,D
ตาก,ตาก เขต 1,D
ตาก,ตาก เขต 2,D
ตาก,ตาก เขต 3,D
นครนายก,นครนายก เขต 1,D
นครนายก,นครนายก เขต 2,D
นครปฐม,นครปฐม เขต 1,D
นครปฐม,นครปฐม เขต 2,D
นครปฐม,นครปฐม เขต 3,D
นครปฐม,นครปฐม เขต 4,D
นครปฐม,นครปฐม เขต 5,D
นครปฐม,นครปฐม เขต 6,D
นครพนม,นครพนม เขต 1,D
นครพนม,นครพนม เขต 2,D
นครพนม,นครพนม เขต 3,D
นครพนม,นครพนม เขต 4,D
นครราชสีมา,นครราชสีมา เขต 1,D
นครราชสีมา,นครราชสีมา เขต 2,D
นครราชสีมา,นครราชสีมา เขต 3,D
นครราชสีมา,นครราชสีมา เขต 4,D
นครราชสีมา,นครราชสีมา เขต 5,D
นครราชสีมา,นครราชสีมา เขต 6,D
นครราชสีมา,นครราชสีมา เขต 7,D
นครราชสีมา,นครราชสีมา เขต 8,D
นครราชสีมา,นครราชสีมา เขต 9,D
นครราชสีมา,นครราชสีมา เขต 10,D
นครราชสีมา,นครราชสีมา เขต 11,D
นครราชสีมา,นครราชสีมา เขต 12,D
นครราชสีมา,นครราชสีมา เขต 13,D
นครราชสีมา,นครราชสีมา เขต 14,D
นครราชสีมา,นครราชสีมา เขต 15,D
นครราชสีมา,นครราชสีมา เขต 16,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 1,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 2,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 3,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 4,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 5,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 6,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 7,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 8,D
นครศรีธรรมราช,นครศรีธรรมราช เขต 9,D
นครสวรรค์,นครสวรรค์ เขต 1,D
นครสวรรค์,นครสวรรค์ เขต 2,D
นครสวรรค์,นครสวรรค์ เขต 3,D
นครสวรรค์,นครสวรรค์ เขต 4,D
นครสวรรค์,นครสวรรค์ เขต 5,D
นครสวรรค์,นครสวรรค์ เขต 6,D
นนทบุรี,นนทบุรี เขต 1,D
นนทบุรี,นนทบุรี เขต 2,D
นนทบุรี,นนทบุรี เขต 3,D
นนทบุรี,นนทบุรี เขต 4,D
นนทบุรี,นนทบุรี เขต 5,D
นนทบุรี,นนทบุรี เขต 6,D
นนทบุรี,นนทบุรี เขต 7,D
นนทบุรี,นนทบุรี เขต 8,D
นราธิวาส,นราธิวาส เขต 1,D
นราธิวาส,นราธิวาส เขต 2,D
นราธิวาส,นราธิวาส เขต 3,D
นราธิวาส,นราธิวาส เขต 4,D
นราธิวาส,นราธิวาส เขต 5,D
น่าน,น่าน เขต 1,D
น่าน,น่าน เขต 2,D
น่าน,น่าน เขต 3,D
บึงกาฬ,บึงกาฬ เขต 1,D
บึงกาฬ,บึงกาฬ เขต 2,D
บึงกาฬ,บึงกาฬ เขต 3,D
บุรีรัมย์,บุรีรัมย์ เขต 1,D
บุรีรัมย์,บุรีรัมย์ เขต 2,D
บุรีรัมย์,บุรีรัมย์ เขต 3,D
บุรีรัมย์,บุรีรัมย์ เขต 4,D
บุรีรัมย์,บุรีรัมย์ เขต 5,D
บุรีรัมย์,บุรีรัมย์ เขต 6,D
บุรีรัมย์,บุรีรัมย์ เขต 7,D
บุรีรัมย์,บุรีรัมย์ เขต 8,D
บุรีรัมย์,บุรีรัมย์ เขต 9,D
บุรีรัมย์,บุรีรัมย์ เขต 10,D
ปทุมธานี,ปทุมธานี เขต 1,D
ปทุมธานี,ปทุมธานี เขต 2,D
ปทุมธานี,ปทุมธานี เขต 3,D
ปทุมธานี,ปทุมธานี เขต 4,D
ปทุมธานี,ปทุมธานี เขต 5,D
ปทุมธานี,ปทุมธานี เขต 6,D
ปทุมธานี,ปทุมธานี เขต 7,D
ปทุมธานี,ปทุมธานี เขต 8,D
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ เขต 1,D
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ เขต 2,D
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ เขต 3,D
ปราจีนบุรี,ปราจีนบุรี เขต 1,D
ปราจีนบุรี,ปราจีนบุรี เขต 2,D
ปราจีนบุรี,ปราจีนบุรี เขต 3,D
ปัตตานี,ปัตตานี เขต 1,D
ปัตตานี,ปัตตานี เขต 2,D
ปัตตานี,ปัตตานี เขต 3,D
ปัตตานี,ปัตตานี เขต 4,D
ปัตตานี,ปัตตานี เขต 5,D
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 1,D
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 2,D
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 3,D
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 4,D
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 5,D
พะเยา,พะเยา เขต 1,D
พะเยา,พะเยา เขต 2,D
พะเยา,พะเยา เขต 3,D
พังงา,พังงา เขต 1,D
พังงา,พังงา เขต 2,D
พัทลุง,พัทลุง เขต 1,D
พัทลุง,พัทลุง เขต 2,D
พัทลุง,พัทลุง เขต 3,D
พิจิตร,พิจิตร เขต 1,D
พิจิตร,พิจิตร เขต 2,D
พิจิตร,พิจิตร เขต 3,D
พิษณุโลก,พิษณุโลก เขต 1,D
พิษณุโลก,พิษณุโลก เขต 2,D
พิษณุโลก,พิษณุโลก เขต 3,D
พิษณุโลก,พิษณุโลก เขต 4,D
พิษณุโลก,พิษณุโลก เขต 5,D
ภูเก็ต,ภูเก็ต เขต 1,D
ภูเก็ต,ภูเก็ต เขต 2,D
ภูเก็ต,ภูเก็ต เขต 3,D
มหาสารคาม,มหาสารคาม เขต 1,D
มหาสารคาม,มหาสารคาม เขต 2,D
มหาสารคาม,มหาสารคาม เขต 3,D
มหาสารคาม,มหาสารคาม เขต 4,D
มหาสารคาม,มหาสารคาม เขต 5,D
มหาสารคาม,มหาสารคาม เขต 6,D
มุกดาหาร,มุกดาหาร เขต 1,D
มุกดาหาร,มุกดาหาร เขต 2,D
ยะลา,ยะลา เขต 1,D
ยะลา,ยะลา เขต 2,D
ยะลา,ยะลา เขต 3,D
ยโสธร,ยโสธร เขต 1,D
ยโสธร,ยโสธร เขต 2,D
ยโสธร,ยโสธร เขต 3,D
ระนอง,ระนอง เขต 1,D
ระยอง,ระยอง เขต 1,D
ระยอง,ระยอง เขต 2,D
ระยอง,ระยอง เขต 3,D
ระยอง,ระยอง เขต 4,D
ระยอง,ระยอง เขต 5,D
ราชบุรี,ราชบุรี เขต 1,D
ราชบุรี,ราชบุรี เขต 2,D
ราชบุรี,ราชบุรี เขต 3,D
ราชบุรี,ราชบุรี เขต 4,D
ราชบุรี,ราชบุรี เขต 5,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 1,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 2,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 3,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 4,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 5,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 6,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 7,D
ร้อยเอ็ด,ร้อยเอ็ด เขต 8,D
ลพบุรี,ลพบุรี เขต 1,D
ลพบุรี,ลพบุรี เขต 2,D
ลพบุรี,ลพบุรี เขต 3,D
ลพบุรี,ลพบุรี เขต 4,D
ลำปาง,ลำปาง เขต 1,D
ลำปาง,ลำปาง เขต 2,D
ลำปาง,ลำปาง เขต 3,D
ลำปาง,ลำปาง เขต 4,D
ลำพูน,ลำพูน เขต 1,D
ลำพูน,ลำพูน เขต 2,D
ศรีสะเกษ,ศรีสะเกษ เขต 1,D
ศรีสะเกษ,ศรีสะเกษ เขต 2,D
ศรีสะเกษ,ศรีสะเกษ เขต 3,D
ศรีสะเกษ,ศรีสะเกษ เขต 4,D
ศรีสะเกษ,ศรีสะเกษ เขต 5,D
ศรีสะเกษ,ศรีสะเกษ เขต 6,D
ศรีสะเกษ,ศรีสะเกษ เขต 7,D
ศรีสะเกษ,ศรีสะเกษ เขต 8,D
ศรีสะเกษ,ศรีสะเกษ เขต 9,D
สกลนคร,สกลนคร เขต 1,D
สกลนคร,สกลนคร เขต 2,D
สกลนคร,สกลนคร เขต 3,D
สกลนคร,สกลนคร เขต 4,D
สกลนคร,สกลนคร เขต 5,D
สกลนคร,สกลนคร เขต 6,D
สกลนคร,สกลนคร เขต 7,D
สงขลา,สงขลา เขต 1,D
สงขลา,สงขลา เขต 2,D
สงขลา,สงขลา เขต 3,D
สงขลา,สงขลา เขต 4,D
สงขลา,สงขลา เขต 5,D
สงขลา,สงขลา เขต 6,D
สงขลา,สงขลา เขต 7,D
สงขลา,สงขลา เขต 8,D
