district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key
NST_1,2569,CONS,candidate,1.0,ประชาธิปัตย์,37124,1,ภาคใต้,นครศรีธรรมราช,1,นครศรีธรรมราช-1,94153,0.394294393,1,นครศรีธรรมราช_1
NST_3,2569,CONS,candidate,1.0,ประชาธิปัตย์,44848,1,ภาคใต้,นครศรีธรรมราช,3,นครศรีธรรมราช-3,92797,0.483291486,1,นครศรีธรรมราช_3
NST_4,2569,CONS,candidate,1.0,ประชาธิปัตย์,41929,1,ภาคใต้,นครศรีธรรมราช,4,นครศรีธรรมราช-4,97264,0.431084471,1,นครศรีธรรมราช_4
SKA_9,2569,CONS,candidate,1.0,ประชาธิปัตย์,46357,1,ภาคใต้,สงขลา,9,สงขลา-9,103560,0.447634222,1,สงขลา_9
TRG_3,2569,CONS,candidate,1.0,ประชาธิปัตย์,42376,1,ภาคใต้,ตรัง,3,ตรัง-3,84202,0.503265956,1,ตรัง_3
TRG_4,2569,CONS,candidate,1.0,ประชาธิปัตย์,48284,1,ภาคใต้,ตรัง,4,ตรัง-4,94316,0.511938589,1,ตรัง_4
