province,district_number,district_label,winner_party,cat_91,cat_92,flag_93,share_rk1,share_rk2,share_rk3
นครราชสีมา,6,นครราชสีมา เขต 6,เพื่อไทย,D,E,True,0.32671429443732064,0.221554619283141,0.20177077608841668
นครราชสีมา,10,นครราชสีมา เขต 10,ภูมิใจไทย,D,E,True,0.3927040503892923,0.34467675618930976,0.12565246551774414
นครราชสีมา,13,นครราชสีมา เขต 13,เพื่อไทย,D,E,True,0.3659957627118644,0.31630519625334524,0.07521186440677965
นครราชสีมา,14,นครราชสีมา เขต 14,ประชาชน,D,E,True,0.36252937666670726,0.323027653641489,0.11463292865579679
นครราชสีมา,15,นครราชสีมา เขต 15,เพื่อไทย,D,E,True,0.38134045869516814,0.2789690492095302,0.1569360944110443
นครราชสีมา,16,นครราชสีมา เขต 16,ภูมิใจไทย,D,E,True,0.35961410913476033,0.34937594211637024,0.16900813988543864
นครศรีธรรมราช,1,นครศรีธรรมราช เขต 1,ประชาธิปัตย์,D,E,True,0.39429439316856607,0.2987902669059934,0.18456129916200228
นครศรีธรรมราช,5,นครศรีธรรมราช เขต 5,กล้าธรรม,D,E,True,0.3622641509433962,0.3043260710935057,0.16761180027103095
นครศรีธรรมราช,9,นครศรีธรรมราช เขต 9,ภูมิใจไทย,D,E,True,0.4487838387950336,0.35436596784042335,0.10062589049460614
นครสวรรค์,6,นครสวรรค์ เขต 6,ภูมิใจไทย,D,E,True,0.4176444099767343,0.37470292447402,0.10614664898806694
นนทบุรี,4,นนทบุรี เขต 4,ประชาชน,D,E,True,0.3689865879550515,0.2913624359173528,0.16284759981357774
นราธิวาส,1,นราธิวาส เขต 1,กล้าธรรม,D,E,True,0.40865296235820797,0.3493625442001795,0.10316078592514896
นราธิวาส,3,นราธิวาส เขต 3,กล้าธรรม,D,E,True,0.4388091673665121,0.43743381896520245,0.0550261072771753
น่าน,1,น่าน เขต 1,ประชาชน,D,E,True,0.28605070104614316,0.22080783088075703,0.14771888700785693
น่าน,2,น่าน เขต 2,กล้าธรรม,D,E,True,0.38443994731939224,0.2934802394183718,0.14533209127022367
น่าน,3,น่าน เขต 3,ประชาชน,D,E,True,0.2612466902317816,0.1893383072247512,0.14214720805561715
บึงกาฬ,2,บึงกาฬ เขต 2,ภูมิใจไทย,D,E,True,0.35222870192895883,0.2679064203471854,0.19515245435884887
ปทุมธานี,1,ปทุมธานี เขต 1,ประชาชน,D,E,True,0.3154242151165802,0.24331127062552438,0.24104285137192755
ปทุมธานี,2,ปทุมธานี เขต 2,เพื่อไทย,D,E,True,0.35542329126372724,0.3094369775446648,0.22271963612522538
ประจวบคีรีขันธ์,1,ประจวบคีรีขันธ์ เขต 1,ภูมิใจไทย,D,E,True,0.4435046668032863,0.38057268476256123,0.09462153249995342
ประจวบคีรีขันธ์,3,ประจวบคีรีขันธ์ เขต 3,ภูมิใจไทย,D,E,True,0.33369813628609135,0.2565959592708233,0.1317045954442549
ปราจีนบุรี,2,ปราจีนบุรี เขต 2,ภูมิใจไทย,D,E,True,0.40921805529655403,0.30407215837152923,0.18458684621197993
