district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key
AYA_3,2569,CONS,candidate,63.0,ภูมิใจไทย,54931,1,ภาคกลาง,พระนครศรีอยุธยา,3,พระนครศรีอยุธยา-3,100194,0.548246402,63,พระนครศรีอยุธยา_3
AYA_4,2569,CONS,candidate,63.0,ภูมิใจไทย,47001,1,ภาคกลาง,พระนครศรีอยุธยา,4,พระนครศรีอยุธยา-4,102574,0.458215532,63,พระนครศรีอยุธยา_4
AYA_5,2569,CONS,candidate,63.0,ภูมิใจไทย,44041,1,ภาคกลาง,พระนครศรีอยุธยา,5,พระนครศรีอยุธยา-5,98147,0.448724872,63,พระนครศรีอยุธยา_5
ATG_1,2569,CONS,candidate,63.0,ภูมิใจไทย,52703,1,ภาคกลาง,อ่างทอง,1,อ่างทอง-1,80520,0.654533035,63,อ่างทอง_1
ATG_2,2569,CONS,candidate,63.0,ภูมิใจไทย,57385,1,ภาคกลาง,อ่างทอง,2,อ่างทอง-2,81967,0.70009882,63,อ่างทอง_2
LRI_3,2569,CONS,candidate,63.0,ภูมิใจไทย,46398,1,ภาคกลาง,ลพบุรี,3,ลพบุรี-3,99817,0.46483064,63,ลพบุรี_3
CNT_2,2569,CONS,candidate,63.0,ภูมิใจไทย,52108,1,ภาคกลาง,ชัยนาท,2,ชัยนาท-2,90466,0.575995402,63,ชัยนาท_2
SRI_3,2569,CONS,candidate,63.0,ภูมิใจไทย,35796,1,ภาคกลาง,สระบุรี,3,สระบุรี-3,65098,0.549878645,63,สระบุรี_3
PRI_1,2569,CONS,candidate,63.0,ภูมิใจไทย,40077,1,ภาคตะวันออก,ปราจีนบุรี,1,ปราจีนบุรี-1,89864,0.445973916,63,ปราจีนบุรี_1
PRI_3,2569,CONS,candidate,63.0,ภูมิใจไทย,42918,1,ภาคตะวันออก,ปราจีนบุรี,3,ปราจีนบุรี-3,86149,0.49818338,63,ปราจีนบุรี_3
NMA_9,2569,CONS,candidate,63.0,ภูมิใจไทย,37991,1,ภาคอีสาน,นครราชสีมา,9,นครราชสีมา-9,83262,0.456282578,63,นครราชสีมา_9
BRM_4,2569,CONS,candidate,63.0,ภูมิใจไทย,49024,1,ภาคอีสาน,บุรีรัมย์,4,บุรีรัมย์-4,71088,0.689624128,63,บุรีรัมย์_4
BRM_1,2569,CONS,candidate,63.0,ภูมิใจไทย,53235,1,ภาคอีสาน,บุรีรัมย์,1,บุรีรัมย์-1,76770,0.693434936,63,บุรีรัมย์_1
BRM_2,2569,CONS,candidate,63.0,ภูมิใจไทย,54410,1,ภาคอีสาน,บุรีรัมย์,2,บุรีรัมย์-2,82670,0.658158945,63,บุรีรัมย์_2
BRM_3,2569,CONS,candidate,63.0,ภูมิใจไทย,51914,1,ภาคอีสาน,บุรีรัมย์,3,บุรีรัมย์-3,68118,0.762118676,63,บุรีรัมย์_3
BRM_5,2569,CONS,candidate,63.0,ภูมิใจไทย,50853,1,ภาคอีสาน,บุรีรัมย์,5,บุรีรัมย์-5,77970,0.652212389,63,บุรีรัมย์_5
