region,seats_2566,seats_2569,delta
ปริมณฑล,0.0,5,5.0
ภาคกลาง,14.0,36,22.0
ภาคตะวันออก,2.0,14,12.0
ภาคอีสาน,35.0,64,29.0
ภาคเหนือ,5.0,24,19.0
ภาคใต้,12.0,31,19.0
