year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand,reasons
2566,กระบี่_3,กระบี่,3,ภูมิใจไทย,52499,0.5278774898695866,0.25624164178053954,0.09533146310317436,0.06572954058701096,2.5178948928251677,8,0.5584940585738449,0.2873905596748971,ENC<=p10
2566,กาฬสินธุ์_1,กาฬสินธุ์,1,เพื่อไทย,56569,0.5980189018330972,0.24355667378480664,0.041239402076241626,0.06717127936232742,2.1506325673614315,11,0.6295026874241901,0.37312353248834335,ENC<=p10
2566,กาฬสินธุ์_2,กาฬสินธุ์,2,เพื่อไทย,49784,0.5484268969771746,0.2588239182162686,0.11486516259804354,0.03744381774918481,2.4146920291782994,11,0.571540095287297,0.30180816256242465,ENC<=p10
2566,ขอนแก่น_5,ขอนแก่น,5,เพื่อไทย,50429,0.5789648917361254,0.21959312070905376,0.04835709857408556,0.10656471722807742,2.348402402747812,18,0.607212522576761,0.3769054786273329,ENC<=p10
2566,ชัยนาท_2,ชัยนาท,2,ภูมิใจไทย,52205,0.5051624202897148,0.20007160620458087,0.15823035909543945,0.0658873847285254,2.689731400380159,10,0.5435642739634743,0.3282834593198809,ENC<=p10
2566,ชัยภูมิ_2,ชัยภูมิ,2,เพื่อไทย,61414,0.6343831668543214,0.1841047836461486,0.07103678377010401,0.05132787240855705,2.0017816219648683,10,0.6742641327141179,0.47858546600353524,ENC<=p10
2566,ตรัง_2,ตรัง,2,พลังประชารัฐ,63182,0.6028989379466969,0.16448944149164577,0.10069944750326823,0.07340858994055173,2.205924877042679,12,0.6403624348813167,0.46565179494456044,ENC<=p10
2566,นครราชสีมา_11,นครราชสีมา,11,เพื่อไทย,60326,0.5886784351610606,0.20474838256389238,0.12445719527308567,0.028777189027781844,2.2175047562625507,11,0.6218470070404387,0.40556225582665884,ENC<=p10
2566,นครราชสีมา_7,นครราชสีมา,7,เพื่อไทย,51348,0.5619418665732796,0.2421861320259149,0.11262257047802486,0.035676764139380146,2.341851283279121,11,0.590010226476232,0.3357271714026359,ENC<=p10
2566,นครราชสีมา_8,นครราชสีมา,8,เพื่อไทย,51320,0.5233637235105754,0.2404495298700769,0.1202859532113647,0.05810846641783434,2.5573347750002697,11,0.5554653591800067,0.3002673420571268,ENC<=p10
2566,นครศรีธรรมราช_5,นครศรีธรรมราช,5,ประชาธิปัตย์,48403,0.5099400541514344,0.2510245577808447,0.1092405103298602,0.07350477775787777,2.6506102331015717,12,0.5403567919978566,0.2743592033580423,ENC<=p10
2566,นราธิวาส_3,นราธิวาส,3,พลังประชารัฐ,34411,0.4279336417450132,0.37246928319156347,0.050676515942894095,0.04458289807491419,2.4693684855734834,9,0.4777845658271084,0.06192552275693538,ENC<=p10
2566,น่าน_2,น่าน,2,เพื่อไทย,56746,0.5510818474925222,0.22174960183350814,0.09522977119993785,0.059210270753214465,2.368086049650712,9,0.5943047453473393,0.35516269911921494,ENC<=p10
2566,บุรีรัมย์_2,บุรีรัมย์,2,ภูมิใจไทย,46729,0.5287641161427569,0.18942222825717972,0.12235499128703012,0.09054699345961482,2.6043012002677837,11,0.5678989840066112,0.3644572456370619,ENC<=p10
2566,บุรีรัมย์_5,บุรีรัมย์,5,ภูมิใจไทย,47746,0.5310126230328643,0.1906689651337374,0.15769337707835177,0.05842184285158205,2.556840848347245,10,0.5662341974810844,0.3629183368515927,ENC<=p10
2566,บุรีรัมย์_9,บุรีรัมย์,9,ภูมิใจไทย,45059,0.5101442383896021,0.27944206688857187,0.10961664741978579,0.04071281389398365,2.519572615273736,11,0.5427552728893386,0.24544983678435056,ENC<=p10
2566,ปัตตานี_5,ปัตตานี,5,ประชาชาติ,37068,0.4699051772222504,0.3364940925916536,0.05754018558896608,0.08042188529993408,2.6278197166044444,11,0.4975904423115645,0.14127122625679575,ENC<=p10
2566,พะเยา_1,พะเยา,1,พลังประชารัฐ,53963,0.5306200711911738,0.2739680229699699,0.08657004070876517,0.03471061377804873,2.3515188111429426,7,0.5731050669612039,0.2772013296657781,ENC<=p10
2566,มหาสารคาม_3,มหาสารคาม,3,ภูมิใจไทย,44122,0.47936811455639816,0.366636970078877,0.08263618782729623,0.030974989678624977,2.480715950025408,15,0.4995414661760543,0.11747523351259553,ENC<=p10
2566,ยะลา_2,ยะลา,2,ประชาชาติ,51946,0.5178081918679412,0.24532740557621188,0.0651920374006918,0.10219400113637496,2.5927436044488115,15,0.5564708781026042,0.29282584708995274,ENC<=p10
2566,ยโสธร_2,ยโสธร,2,เพื่อไทย,44851,0.4556546651495449,0.3513186768530559,0.09692986020806242,0.05531737646293888,2.6981704470395482,13,0.4750259484420344,0.10877163252769599,ENC<=p10
2566,ราชบุรี_1,ราชบุรี,1,รวมไทยสร้างชาติ,52941,0.4833029030491145,0.27064086178564906,0.1312032134380135,0.04542632828190615,2.6688682863446953,10,0.5193603767106489,0.2285279835189091,ENC<=p10
2566,ร้อยเอ็ด_5,ร้อยเอ็ด,5,เพื่อไทย,61288,0.693475751883953,0.17199981895946956,0.032926746475367176,0.052207562968159496,1.7644788301635213,10,0.7295061478580696,0.5485698641876853,"ENC<=2.0, ENC<=p10"
2566,ศรีสะเกษ_7,ศรีสะเกษ,7,เพื่อไทย,52952,0.607812302712382,0.20607444989037982,0.07138511690905543,0.04288387148612817,2.063756097763724,9,0.654860252287905,0.4328345288152362,ENC<=p10
