year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand
2566,กรุงเทพมหานคร_21,กรุงเทพมหานคร,21,ก้าวไกล,44959,0.45330711837063925,0.16632385561605162,0.14815486993345434,0.19550312563016736,3.385305444730483,14,0.4705826939783753,0.297920221061556
2566,กรุงเทพมหานคร_22,กรุงเทพมหานคร,22,ก้าวไกล,43083,0.44385720908669446,0.16872199041879152,0.13873177767475403,0.20321434090557874,3.5640017762664464,14,0.4650030760596216,0.2882429763305307
2566,กรุงเทพมหานคร_23,กรุงเทพมหานคร,23,ก้าวไกล,47225,0.4456491992941332,0.169445781313403,0.16136794722985023,0.179882795912012,3.5282849115547554,16,0.465991731051972,0.28881126471487917
2566,กรุงเทพมหานคร_24,กรุงเทพมหานคร,24,ก้าวไกล,48317,0.4687239285229235,0.1777225897828913,0.16798277099784636,0.13450456917793602,3.1695145518544763,14,0.4939479441411601,0.3066613506716555
2566,กรุงเทพมหานคร_25,กรุงเทพมหานคร,25,ก้าวไกล,35623,0.38328204686793915,0.303296679649674,0.13195326117363518,0.13764498289255664,3.5068937342494797,16,0.40084843983841384,0.08365121695979476
2566,กรุงเทพมหานคร_26,กรุงเทพมหานคร,26,ก้าวไกล,46570,0.4596736780803664,0.19556612806111873,0.12979834371391064,0.16952749454649543,3.3007514297061173,11,0.4815527153906605,0.27667824792157836
2566,กรุงเทพมหานคร_27,กรุงเทพมหานคร,27,ก้าวไกล,50035,0.4946907379577632,0.23086886023886735,0.1343925492367318,0.10652139523847189,2.909439247576906,14,0.5118512986813704,0.2729737194766401
2566,กรุงเทพมหานคร_28,กรุงเทพมหานคร,28,ก้าวไกล,47592,0.4511560447060831,0.2510119538530084,0.10811553811297861,0.149484780403644,3.189269190243022,11,0.4700676576621068,0.20853375475332114
2566,กรุงเทพมหานคร_29,กรุงเทพมหานคร,29,ก้าวไกล,47652,0.4384332992906235,0.21659444091749702,0.1444514983392678,0.1533578072814596,3.416471987317729,11,0.46013460665694617,0.2328193045644596
2566,กรุงเทพมหานคร_3,กรุงเทพมหานคร,3,ก้าวไกล,35189,0.3994301800267884,0.18426070966423755,0.16836931598901222,0.20463574655497288,3.858091555948574,17,0.417510055408564,0.2249089377454528
2566,กรุงเทพมหานคร_30,กรุงเทพมหานคร,30,ก้าวไกล,49770,0.47516755456263965,0.2340990242691566,0.15068453915334823,0.09275171373470051,2.978377143542123,14,0.49875736561510403,0.25303643724696356
2566,กรุงเทพมหานคร_31,กรุงเทพมหานคร,31,ก้าวไกล,46405,0.41945368428664404,0.21347349772217802,0.16703123870127992,0.15192710969701353,3.577773193017273,15,0.4406555944886002,0.21639176138791558
2566,กรุงเทพมหานคร_32,กรุงเทพมหานคร,32,ก้าวไกล,43115,0.4242975938591743,0.18438222703341042,0.14651380209614723,0.1935048959307189,3.6092603494897695,16,0.4472417584697413,0.2528889442127757
2566,กรุงเทพมหานคร_33,กรุงเทพมหานคร,33,ก้าวไกล,45189,0.4136217185955406,0.1705048877823747,0.14477538168637646,0.22514004320287043,3.763219860278458,16,0.43354664159415146,0.25482821809250605
2566,กรุงเทพมหานคร_4,กรุงเทพมหานคร,4,ก้าวไกล,33381,0.3740377612191159,0.16704577287242983,0.14557678301305396,0.269897473247801,4.239002866681511,15,0.39102473994939557,0.21639255927279544
2566,กรุงเทพมหานคร_5,กรุงเทพมหานคร,5,ก้าวไกล,47147,0.475080612656187,0.16007658202337768,0.15561265618702136,0.1672914147521161,3.210416415491437,14,0.4958770693535834,0.32879320137150553
2566,กรุงเทพมหานคร_6,กรุงเทพมหานคร,6,ก้าวไกล,46082,0.4262392126756264,0.22235993821279587,0.1546345027887488,0.15237760491337768,3.5314931077352734,15,0.4460382910350969,0.21334959444025012
2566,กรุงเทพมหานคร_7,กรุงเทพมหานคร,7,ก้าวไกล,45049,0.4520949370264439,0.24971649355210998,0.1732851623262582,0.07804706708816297,3.0509789886769227,15,0.4743198281671159,0.21232732479784366
2566,กรุงเทพมหานคร_8,กรุงเทพมหานคร,8,ก้าวไกล,40011,0.3696951777282933,0.23260369408742734,0.16822973934415628,0.18624742439502157,4.013850442183086,18,0.38639677833682606,0.14328482167862558
2566,กรุงเทพมหานคร_9,กรุงเทพมหานคร,9,ก้าวไกล,50132,0.46506795305904725,0.19085300802449093,0.17501739412774248,0.11456932139709634,3.1320385438030156,11,0.4918711551103305,0.2900187400045133
2566,กาญจนบุรี_1,กาญจนบุรี,1,เพื่อไทย,33183,0.3138703391914644,0.24327954446567412,0.1878133217305764,0.187888991884376,4.208522720158231,11,0.3364630968435355,0.07567200348803017
2566,กาญจนบุรี_2,กาญจนบุรี,2,เพื่อไทย,23278,0.216093277139303,0.18719481628636675,0.17592506637455674,0.3716418187556859,5.37092721248116,13,0.2272620767758816,0.030392080290545555
2566,กาญจนบุรี_3,กาญจนบุรี,3,ภูมิใจไทย,44813,0.39602849163986004,0.3891353529640496,0.12435045424016403,0.03984764396055004,2.7811065452122947,10,0.41715227226183604,0.007260812093906503
2566,กาญจนบุรี_4,กาญจนบุรี,4,เพื่อไทย,45812,0.4440997702531093,0.26625435016528204,0.1563151313047103,0.06643271905929796,2.9666022591293673,10,0.47593916223404253,0.19059591090425532
2566,กาญจนบุรี_5,กาญจนบุรี,5,เพื่อไทย,31164,0.3549228403849439,0.24310688457377141,0.1820283582939468,0.15197312225955242,3.811086591391781,12,0.38080574801129075,0.11997018463531166
2566,กาฬสินธุ์_1,กาฬสินธุ์,1,เพื่อไทย,56569,0.5980189018330972,0.24355667378480664,0.041239402076241626,0.06717127936232742,2.1506325673614315,11,0.6295026874241901,0.37312353248834335
2566,กาฬสินธุ์_2,กาฬสินธุ์,2,เพื่อไทย,49784,0.5484268969771746,0.2588239182162686,0.11486516259804354,0.03744381774918481,2.4146920291782994,11,0.571540095287297,0.30180816256242465
2566,กาฬสินธุ์_3,กาฬสินธุ์,3,พลังประชารัฐ,37044,0.4327165685449958,0.25235959256144286,0.20951312961405477,0.05007709559854219,3.021488424771174,10,0.4580628408205661,0.1909213438686303
2566,กาฬสินธุ์_4,กาฬสินธุ์,4,ภูมิใจไทย,31536,0.3318530990213617,0.28165842365568766,0.23171630011575292,0.10215721351152268,3.6305765234209195,11,0.3502832389203599,0.05298233922025991
