year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand
2569,กระบี่_1,กระบี่,1,ภูมิใจไทย,47972,0.5179834364506063,0.21207605843672056,0.15754807640396057,0.036744301555937074,2.5221449830166596,6,0.5603747357108647,0.33094256310815706
2569,กระบี่_2,กระบี่,2,ภูมิใจไทย,39705,0.5055578899117613,0.2505061308682532,0.0946942205584629,0.06660554897691534,2.559674109365225,7,0.5510985884214471,0.2780268435882132
2569,กระบี่_3,กระบี่,3,ภูมิใจไทย,45246,0.5038249540671454,0.16613774288736707,0.1308835810923668,0.12717554701854017,2.783944594953075,6,0.5429020530111229,0.36387852317586783
2569,กรุงเทพมหานคร_1,กรุงเทพมหานคร,1,ประชาชน,32564,0.41509770679039887,0.17868933957093144,0.17413861234687503,0.16712768805211028,3.6246941654436164,18,0.4439294380674537,0.2528287482618535
2569,กรุงเทพมหานคร_10,กรุงเทพมหานคร,10,ประชาชน,37489,0.4136625950323855,0.19739150584262968,0.09595374446908758,0.2174848555066371,3.7045142589634863,16,0.4474482001336771,0.23393488016805117
2569,กรุงเทพมหานคร_11,กรุงเทพมหานคร,11,ประชาชน,36844,0.3868948860653155,0.24674997374776855,0.20390633203822325,0.1081486926388743,3.519460054182197,18,0.40910958371734085,0.1481917409698087
2569,กรุงเทพมหานคร_12,กรุงเทพมหานคร,12,ประชาชน,44824,0.4453054371690559,0.1453521294668137,0.14025571483920962,0.202187583822609,3.499538526245678,16,0.4772318339100346,0.3214586105935587
2569,กรุงเทพมหานคร_13,กรุงเทพมหานคร,13,ประชาชน,39644,0.4620189730321889,0.1568538330652868,0.11855814278721767,0.19362282357877073,3.2818750554031335,15,0.49623231943922896,0.32776317436475155
2569,กรุงเทพมหานคร_14,กรุงเทพมหานคร,14,ประชาชน,36911,0.4145254031714658,0.2590292439692736,0.11383136426934999,0.15581061048470418,3.432028174769728,16,0.43948991498583095,0.16486081013502252
2569,กรุงเทพมหานคร_15,กรุงเทพมหานคร,15,ประชาชน,35586,0.4051829164152254,0.23456340305373063,0.14026438339007366,0.15239049495030002,3.5217843053988265,15,0.43455855415801686,0.18298937599218465
2569,กรุงเทพมหานคร_16,กรุงเทพมหานคร,16,ประชาชน,41727,0.4568616287472354,0.15464120699848907,0.1544222304946679,0.17290384741717213,3.3319490215191854,15,0.48662926982868204,0.32191213686776216
2569,กรุงเทพมหานคร_17,กรุงเทพมหานคร,17,ประชาชน,27187,0.3619479983491539,0.20330701742707655,0.15700344813813855,0.18470837271843754,4.039578148509223,15,0.39907522935779816,0.1749137614678899
2569,กรุงเทพมหานคร_18,กรุงเทพมหานคร,18,ประชาชน,31027,0.3914584910421398,0.24114307342922028,0.09595003785011355,0.1931869795609387,3.710430008203666,18,0.4246957854825684,0.16307814446254296
2569,กรุงเทพมหานคร_19,กรุงเทพมหานคร,19,ประชาชน,38566,0.4291452924877875,0.1822359709348259,0.1372361378481534,0.18450599218845629,3.5109252096687324,14,0.4599019759829233,0.2646052207925397
2569,กรุงเทพมหานคร_2,กรุงเทพมหานคร,2,ประชาชน,37055,0.43762991307634164,0.17717781557067272,0.1608560090702948,0.15395880574452003,3.4048767986632025,15,0.4707608654224842,0.2801697305400633
2569,กรุงเทพมหานคร_20,กรุงเทพมหานคร,20,ประชาชน,31037,0.3933065527859795,0.32154397881210955,0.08851520028385691,0.1345405699948044,3.267736291216706,14,0.4193452501587559,0.07651358545120451
2569,กรุงเทพมหานคร_21,กรุงเทพมหานคร,21,ประชาชน,41256,0.4689194257851127,0.22374148963980858,0.10991009422488947,0.1410759141178209,3.1051298614339657,15,0.4969225395372367,0.25981956807149825
2569,กรุงเทพมหานคร_22,กรุงเทพมหานคร,22,ประชาชน,39831,0.4566099596478357,0.1907900770359501,0.1013733492296405,0.17850100880410857,3.2712774992971236,14,0.4924216200178024,0.2866679853624765
2569,กรุงเทพมหานคร_23,กรุงเทพมหานคร,23,ประชาชน,44381,0.4667066271268429,0.17490062464508802,0.10749363787410351,0.1887711106904747,3.262049180950963,18,0.497622945305317,0.3111362769941471
2569,กรุงเทพมหานคร_24,กรุงเทพมหานคร,24,ประชาชน,43857,0.47903923453337993,0.15718935686822788,0.13740824886403355,0.1479268612373296,3.046884957538882,13,0.5198113095731945,0.34924322338244185
2569,กรุงเทพมหานคร_25,กรุงเทพมหานคร,25,ประชาชน,33581,0.4080910946918141,0.2502916585650399,0.11785436515652344,0.16302498541707175,3.5217485827267043,14,0.43448052788200286,0.16800362271962738
2569,กรุงเทพมหานคร_26,กรุงเทพมหานคร,26,ประชาชน,40407,0.4524252060193479,0.17512764242207093,0.12053251522751703,0.17984145467574347,3.325636652062604,14,0.4875656108597285,0.29883559577677227
2569,กรุงเทพมหานคร_27,กรุงเทพมหานคร,27,ประชาชน,40639,0.446239156692654,0.2829142417920281,0.07694081475787856,0.13242560667618317,3.0311862815923165,12,0.4754712124580267,0.174023937943864
