region,province,district_number,district_label,winner_party,target_party,votes_rank1,votes_target,gap,bucket
ภาคตะวันออก,จันทบุรี,2,จันทบุรี เขต 2,ภูมิใจไทย,ประชาชน,37377,25889,11488,10000+
ภาคเหนือ,เชียงราย,4,เชียงราย เขต 4,กล้าธรรม,ประชาชน,31901,20370,11531,10000+
ภาคเหนือ,พิษณุโลก,2,พิษณุโลก เขต 2,เพื่อไทย,ประชาชน,38287,26672,11615,10000+
ภาคอีสาน,มุกดาหาร,1,มุกดาหาร เขต 1,ภูมิใจไทย,ประชาชน,29345,17650,11695,10000+
ภาคเหนือ,เชียงใหม่,7,เชียงใหม่ เขต 7,กล้าธรรม,ประชาชน,31146,19362,11784,10000+
ภาคอีสาน,กาฬสินธุ์,1,กาฬสินธุ์ เขต 1,เพื่อไทย,ประชาชน,29962,18019,11943,10000+
ภาคเหนือ,แพร่,1,แพร่ เขต 1,ภูมิใจไทย,ประชาชน,34337,21705,12632,10000+
ภาคเหนือ,สุโขทัย,2,สุโขทัย เขต 2,เพื่อไทย,ประชาชน,31272,18338,12934,10000+
ภาคตะวันออก,ปราจีนบุรี,1,ปราจีนบุรี เขต 1,ภูมิใจไทย,ประชาชน,40077,27069,13008,10000+
ภาคอีสาน,หนองบัวลำภู,3,หนองบัวลำภู เขต 3,กล้าธรรม,ประชาชน,24943,11767,13176,10000+
ภาคกลาง,นครปฐม,2,นครปฐม เขต 2,กล้าธรรม,ประชาชน,41154,27977,13177,10000+
ภาคอีสาน,อุดรธานี,9,อุดรธานี เขต 9,เพื่อไทย,ประชาชน,27505,14326,13179,10000+
ภาคกลาง,สระบุรี,2,สระบุรี เขต 2,ภูมิใจไทย,ประชาชน,34896,21654,13242,10000+
ปริมณฑล,ปทุมธานี,8,ปทุมธานี เขต 8,ภูมิใจไทย,ประชาชน,36814,23271,13543,10000+
ภาคอีสาน,หนองบัวลำภู,1,หนองบัวลำภู เขต 1,กล้าธรรม,ประชาชน,29441,15705,13736,10000+
ภาคอีสาน,ร้อยเอ็ด,8,ร้อยเอ็ด เขต 8,เพื่อไทย,ประชาชน,24500,10462,14038,10000+
ภาคใต้,พังงา,2,พังงา เขต 2,ภูมิใจไทย,ประชาชน,25124,10792,14332,10000+
ภาคเหนือ,กำแพงเพชร,1,กำแพงเพชร เขต 1,กล้าธรรม,ประชาชน,42461,28101,14360,10000+
ภาคใต้,ปัตตานี,1,ปัตตานี เขต 1,ภูมิใจไทย,ประชาชน,22538,8127,14411,10000+
ภาคอีสาน,อุดรธานี,5,อุดรธานี เขต 5,ภูมิใจไทย,ประชาชน,26690,12230,14460,10000+
ภาคอีสาน,ศรีสะเกษ,6,ศรีสะเกษ เขต 6,ภูมิใจไทย,ประชาชน,26211,11686,14525,10000+
ภาคอีสาน,สกลนคร,4,สกลนคร เขต 4,เพื่อไทย,ประชาชน,27273,12682,14591,10000+
ภาคอีสาน,อุดรธานี,10,อุดรธานี เขต 10,เพื่อไทย,ประชาชน,29422,14795,14627,10000+
ภาคอีสาน,กาฬสินธุ์,3,กาฬสินธุ์ เขต 3,กล้าธรรม,ประชาชน,25564,10801,14763,10000+
ภาคอีสาน,หนองคาย,1,หนองคาย เขต 1,พลังประชารัฐ,ประชาชน,28866,14006,14860,10000+
ภาคอีสาน,ขอนแก่น,8,ขอนแก่น เขต 8,กล้าธรรม,ประชาชน,32333,17255,15078,10000+
ภาคใต้,สุราษฎร์ธานี,2,สุราษฎร์ธานี เขต 2,ภูมิใจไทย,ประชาชน,25384,10292,15092,10000+
ภาคกลาง,ลพบุรี,1,ลพบุรี เขต 1,ภูมิใจไทย,ประชาชน,35960,20781,15179,10000+
ภาคกลาง,นครปฐม,5,นครปฐม เขต 5,ภูมิใจไทย,ประชาชน,39070,23648,15422,10000+
ภาคอีสาน,นครราชสีมา,6,นครราชสีมา เขต 6,เพื่อไทย,ประชาชน,26753,11274,15479,10000+
ภาคเหนือ,พิษณุโลก,5,พิษณุโลก เขต 5,ภูมิใจไทย,ประชาชน,31777,16088,15689,10000+
ภาคอีสาน,นครราชสีมา,16,นครราชสีมา เขต 16,ภูมิใจไทย,ประชาชน,29821,14015,15806,10000+
ภาคเหนือ,แม่ฮ่องสอน,1,แม่ฮ่องสอน เขต 1,กล้าธรรม,ประชาชน,33724,17878,15846,10000+
ภาคอีสาน,อุดรธานี,4,อุดรธานี เขต 4,เพื่อไทย,ประชาชน,27927,11324,16603,10000+
ภาคตะวันออก,ระยอง,4,ระยอง เขต 4,ภูมิใจไทย,ประชาชน,32408,15785,16623,10000+
ภาคอีสาน,ขอนแก่น,7,ขอนแก่น เขต 7,เพื่อไทย,ประชาชน,32378,15660,16718,10000+
ภาคเหนือ,ตาก,3,ตาก เขต 3,กล้าธรรม,ประชาชน,28767,11840,16927,10000+
ภาคอีสาน,สกลนคร,5,สกลนคร เขต 5,กล้าธรรม,ประชาชน,26101,8893,17208,10000+
ภาคอีสาน,มหาสารคาม,5,มหาสารคาม เขต 5,เพื่อไทย,ประชาชน,32999,15726,17273,10000+
ภาคกลาง,ราชบุรี,2,ราชบุรี เขต 2,กล้าธรรม,ประชาชน,41282,23928,17354,10000+
ภาคกลาง,สระบุรี,3,สระบุรี เขต 3,ภูมิใจไทย,ประชาชน,35796,18381,17415,10000+
ภาคอีสาน,บึงกาฬ,2,บึงกาฬ เขต 2,ภูมิใจไทย,ประชาชน,25911,8334,17577,10000+
ภาคใต้,ยะลา,1,ยะลา เขต 1,ประชาชาติ,ประชาชน,29562,11866,17696,10000+
ภาคอีสาน,หนองคาย,3,หนองคาย เขต 3,ภูมิใจไทย,ประชาชน,34208,16067,18141,10000+
ภาคใต้,ตรัง,1,ตรัง เขต 1,ภูมิใจไทย,ประชาชน,33921,15696,18225,10000+
ภาคอีสาน,มหาสารคาม,4,มหาสารคาม เขต 4,ภูมิใจไทย,ประชาชน,29448,11117,18331,10000+
ภาคเหนือ,อุตรดิตถ์,2,อุตรดิตถ์ เขต 2,โอกาสใหม่,ประชาชน,29747,11295,18452,10000+
ภาคกลาง,สระบุรี,4,สระบุรี เขต 4,กล้าธรรม,ประชาชน,45409,26771,18638,10000+
