year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand,threshold
2566,กระบี่_3,กระบี่,3,ภูมิใจไทย,52499,0.5278774898695866,0.25624164178053954,0.09533146310317436,0.06572954058701096,2.5178948928251677,8,0.5584940585738449,0.2873905596748971,0.7
2566,กรุงเทพมหานคร_14,กรุงเทพมหานคร,14,ก้าวไกล,42218,0.41442608789547564,0.2857142857142857,0.1720803761620088,0.08871023156737443,3.248968668743503,14,0.43127560245579266,0.13394489789664013,0.7
2566,กรุงเทพมหานคร_20,กรุงเทพมหานคร,20,เพื่อไทย,34749,0.3849792825330704,0.38493496709578784,0.10465090514280649,0.07923600186124836,2.9526704575148695,15,0.40362635320354967,4.6461924452910837e-05,0.7
2566,กรุงเทพมหานคร_27,กรุงเทพมหานคร,27,ก้าวไกล,50035,0.4946907379577632,0.23086886023886735,0.1343925492367318,0.10652139523847189,2.909439247576906,14,0.5118512986813704,0.2729737194766401,0.7
2566,กรุงเทพมหานคร_28,กรุงเทพมหานคร,28,ก้าวไกล,47592,0.4511560447060831,0.2510119538530084,0.10811553811297861,0.149484780403644,3.189269190243022,11,0.4700676576621068,0.20853375475332114,0.7
2566,กรุงเทพมหานคร_30,กรุงเทพมหานคร,30,ก้าวไกล,49770,0.47516755456263965,0.2340990242691566,0.15068453915334823,0.09275171373470051,2.978377143542123,14,0.49875736561510403,0.25303643724696356,0.7
2566,กรุงเทพมหานคร_7,กรุงเทพมหานคร,7,ก้าวไกล,45049,0.4520949370264439,0.24971649355210998,0.1732851623262582,0.07804706708816297,3.0509789886769227,15,0.4743198281671159,0.21232732479784366,0.7
2566,กาญจนบุรี_3,กาญจนบุรี,3,ภูมิใจไทย,44813,0.39602849163986004,0.3891353529640496,0.12435045424016403,0.03984764396055004,2.7811065452122947,10,0.41715227226183604,0.007260812093906503,0.7
2566,กาญจนบุรี_4,กาญจนบุรี,4,เพื่อไทย,45812,0.4440997702531093,0.26625435016528204,0.1563151313047103,0.06643271905929796,2.9666022591293673,10,0.47593916223404253,0.19059591090425532,0.7
2566,กาฬสินธุ์_1,กาฬสินธุ์,1,เพื่อไทย,56569,0.5980189018330972,0.24355667378480664,0.041239402076241626,0.06717127936232742,2.1506325673614315,11,0.6295026874241901,0.37312353248834335,0.7
2566,กาฬสินธุ์_2,กาฬสินธุ์,2,เพื่อไทย,49784,0.5484268969771746,0.2588239182162686,0.11486516259804354,0.03744381774918481,2.4146920291782994,11,0.571540095287297,0.30180816256242465,0.7
2566,กาฬสินธุ์_5,กาฬสินธุ์,5,เพื่อไทย,39998,0.412061647504842,0.33261218939300286,0.1563646103762311,0.04166151563852145,2.9125736881385507,14,0.4371079492055166,0.0842786265381505,0.7
