region,seats_2566,seats_2569,delta
ภาคกลาง,2.0,0.0,-2.0
ภาคตะวันออก,0.0,1.0,1.0
ภาคอีสาน,2.0,0.0,-2.0
ภาคเหนือ,1.0,0.0,-1.0
ภาคใต้,17.0,9.0,-8.0
