key,rate_2566,region,province,district_label,rate_2569,delta_rate,ballot_code
กาญจนบุรี_3,0.01421930785817809,ภาคกลาง,กาญจนบุรี,กาญจนบุรี เขต 3,0.01927687641423138,0.00505756855605329,CON
กาญจนบุรี_4,0.01068274571769245,ภาคกลาง,กาญจนบุรี,กาญจนบุรี เขต 4,0.053669371288699516,0.04298662557100707,CON
กาญจนบุรี_5,0.014987756961448665,ภาคกลาง,กาญจนบุรี,กาญจนบุรี เขต 5,0.02203257606203163,0.007044819100582966,CON
กาฬสินธุ์_2,0.007248611967921036,ภาคอีสาน,กาฬสินธุ์,กาฬสินธุ์ เขต 2,0.038438467847568214,0.031189855879647177,CON
กาฬสินธุ์_3,0.011447528268386133,ภาคอีสาน,กาฬสินธุ์,กาฬสินธุ์ เขต 3,0.023052991942517215,0.011605463674131082,CON
กาฬสินธุ์_4,0.01056508471009155,ภาคอีสาน,กาฬสินธุ์,กาฬสินธุ์ เขต 4,0.018505909245659258,0.007940824535567707,CON
กาฬสินธุ์_5,0.013804755429183664,ภาคอีสาน,กาฬสินธุ์,กาฬสินธุ์ เขต 5,0.018002308913367647,0.0041975534841839825,CON
กาฬสินธุ์_6,0.020415480333227883,ภาคอีสาน,กาฬสินธุ์,กาฬสินธุ์ เขต 6,0.016956800531978056,-0.003458679801249826,CON
กาฬสินธุ์_1,0.0162378163519885,ภาคอีสาน,กาฬสินธุ์,กาฬสินธุ์ เขต 1,0.03859537702271795,0.022357560670729453,CON
กำแพงเพชร_3,0.023719927275802292,ภาคเหนือ,กำแพงเพชร,กำแพงเพชร เขต 3,0.029276469179679132,0.00555654190387684,CON
กำแพงเพชร_4,0.016680319475732133,ภาคเหนือ,กำแพงเพชร,กำแพงเพชร เขต 4,0.02806269171779141,0.011382372242059277,CON
กำแพงเพชร_1,0.02647738527566854,ภาคเหนือ,กำแพงเพชร,กำแพงเพชร เขต 1,0.051472285422231014,0.024994900146562474,CON
กำแพงเพชร_2,0.02360177912368695,ภาคเหนือ,กำแพงเพชร,กำแพงเพชร เขต 2,0.02641058936874293,0.002808810245055981,CON
ขอนแก่น_1,0.03293128730457052,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 1,0.06046527793868897,0.027533990634118453,CON
ขอนแก่น_2,0.027989079269440782,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 2,0.06039428497051373,0.03240520570107295,CON
ขอนแก่น_3,0.008310507002945888,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 3,0.02186172638045643,0.013551219377510543,CON
ขอนแก่น_6,0.015188843184267834,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 6,0.028395991426750856,0.013207148242483022,CON
ขอนแก่น_7,0.009765844011539598,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 7,0.029361433846708095,0.019595589835168497,CON
ขอนแก่น_10,0.009363722079526612,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 10,0.01569154084397987,0.006327818764453257,CON
ขอนแก่น_11,0.007481007723350227,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 11,0.025483304042179262,0.018002296318829034,CON
ขอนแก่น_4,0.015434787012092608,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 4,0.023502259207489516,0.008067472195396908,CON
ขอนแก่น_8,0.016495834434687263,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 8,0.03271458662453923,0.016218752189851967,CON
ขอนแก่น_9,0.011052125760834744,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 9,0.013656856688442277,0.0026047309276075337,CON
ขอนแก่น_5,0.013547335308029667,ภาคอีสาน,ขอนแก่น,ขอนแก่น เขต 5,0.017100957161487167,0.0035536218534575007,CON
จันทบุรี_1,0.027229044313934865,ภาคตะวันออก,จันทบุรี,จันทบุรี เขต 1,0.05827754108338405,0.031048496769449187,CON
จันทบุรี_2,0.029918882880213347,ภาคตะวันออก,จันทบุรี,จันทบุรี เขต 2,0.057373218041598506,0.02745433516138516,CON
จันทบุรี_3,0.024087082619258366,ภาคตะวันออก,จันทบุรี,จันทบุรี เขต 3,0.05539833100088115,0.03131124838162279,CON
ฉะเชิงเทรา_1,0.020470996691886935,ภาคตะวันออก,ฉะเชิงเทรา,ฉะเชิงเทรา เขต 1,0.08184340027740306,0.06137240358551612,CON
ฉะเชิงเทรา_2,0.02041757891469747,ภาคตะวันออก,ฉะเชิงเทรา,ฉะเชิงเทรา เขต 2,0.03600750850847339,0.01558992959377592,CON
ฉะเชิงเทรา_3,0.014044472692283927,ภาคตะวันออก,ฉะเชิงเทรา,ฉะเชิงเทรา เขต 3,0.05177861998191406,0.037734147289630135,CON
ฉะเชิงเทรา_4,0.015304163091882175,ภาคตะวันออก,ฉะเชิงเทรา,ฉะเชิงเทรา เขต 4,0.04649243700338591,0.031188273911503733,CON
ชลบุรี_1,0.02468947649165587,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 1,0.04376403017372136,0.01907455368206549,CON
ชลบุรี_2,0.021521046566799974,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 2,0.039811339892484025,0.018290293325684052,CON
ชลบุรี_3,0.017723616668687603,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 3,0.05018079766851962,0.03245718099983202,CON
ชลบุรี_5,0.016622937857168528,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 5,0.04641281087777857,0.029789873020610043,CON
ชลบุรี_6,0.020137717267626632,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 6,0.0492815701205693,0.02914385285294267,CON
ชลบุรี_7,0.019698737897648685,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 7,0.04416441216953818,0.024465674271889497,CON
ชลบุรี_8,0.022550512324595696,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 8,0.043935879236921375,0.02138536691232568,CON
ชลบุรี_9,0.01983217918341166,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 9,0.051631563808367156,0.0317993846249555,CON
ชลบุรี_10,0.03278213872088534,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 10,0.053086507823274835,0.020304369102389495,CON
ชลบุรี_4,0.015239045940148249,ภาคตะวันออก,ชลบุรี,ชลบุรี เขต 4,0.046496359078429035,0.031257313138280785,CON
ชัยนาท_1,0.02442845253830714,ภาคกลาง,ชัยนาท,ชัยนาท เขต 1,0.08393907723381519,0.05951062469550805,CON
ชัยนาท_2,0.015559834725138616,ภาคกลาง,ชัยนาท,ชัยนาท เขต 2,0.05943669444874317,0.043876859723604555,CON
ชัยภูมิ_1,0.019360913926198802,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 1,0.03775482832618026,0.01839391439998146,CON
ชัยภูมิ_3,0.009141299003173751,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 3,0.021897226884040596,0.012755927880866845,CON
ชัยภูมิ_4,0.009414533686378346,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 4,0.009993070498559393,0.0005785368121810474,CON
ชัยภูมิ_5,0.011064785118665812,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 5,0.012643870751543428,0.0015790856328776158,CON
ชัยภูมิ_6,0.008157226953779139,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 6,0.022993805267886698,0.014836578314107559,CON
ชัยภูมิ_7,0.009634877141393215,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 7,0.010413902892013797,0.0007790257506205822,CON
ชัยภูมิ_2,0.013335536985197658,ภาคอีสาน,ชัยภูมิ,ชัยภูมิ เขต 2,0.038203084616586724,0.024867547631389066,CON
ชุมพร_1,0.030491127922335836,ภาคใต้,ชุมพร,ชุมพร เขต 1,0.051462704855261145,0.02097157693292531,CON
