province,seats_2566,seats_2569,region,delta,status
ตรัง,2.0,2.0,ภาคใต้,0.0,Stable
นครศรีธรรมราช,6.0,4.0,ภาคใต้,-2.0,Decreased
ประจวบคีรีขันธ์,2.0,0.0,ภาคกลาง,-2.0,Decreased
ปัตตานี,1.0,0.0,ภาคใต้,-1.0,Decreased
พัทลุง,2.0,0.0,ภาคใต้,-2.0,Decreased
ระยอง,0.0,1.0,ภาคตะวันออก,1.0,Increased
สกลนคร,1.0,0.0,ภาคอีสาน,-1.0,Decreased
สงขลา,6.0,2.0,ภาคใต้,-4.0,Decreased
สุราษฎร์ธานี,0.0,1.0,ภาคใต้,1.0,Increased
อุบลราชธานี,1.0,0.0,ภาคอีสาน,-1.0,Decreased
แม่ฮ่องสอน,1.0,0.0,ภาคเหนือ,-1.0,Decreased
