district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key,2566_winner
BKK_20,2569,CONS,candidate,129.0,ประชาชน,31037,1,กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร-20,78913,0.393306553,129,กรุงเทพมหานคร_20,เพื่อไทย
PTE_5,2569,CONS,candidate,129.0,ประชาชน,30721,1,ปริมณฑล,ปทุมธานี,5,ปทุมธานี-5,80064,0.383705536,129,ปทุมธานี_5,เพื่อไทย
CBI_10,2569,CONS,candidate,129.0,ประชาชน,25552,1,ภาคตะวันออก,ชลบุรี,10,ชลบุรี-10,84108,0.303799876,129,ชลบุรี_10,พลังประชารัฐ
NMA_14,2569,CONS,candidate,129.0,ประชาชน,29772,1,ภาคอีสาน,นครราชสีมา,14,นครราชสีมา-14,82123,0.362529377,129,นครราชสีมา_14,เพื่อไทย
CMI_5,2569,CONS,candidate,129.0,ประชาชน,34191,1,ภาคเหนือ,เชียงใหม่,5,เชียงใหม่-5,91938,0.371891927,129,เชียงใหม่_5,เพื่อไทย
LPN_2,2569,CONS,candidate,129.0,ประชาชน,46583,1,ภาคเหนือ,ลำพูน,2,ลำพูน-2,125270,0.371860781,129,ลำพูน_2,เพื่อไทย
PRE_3,2569,CONS,candidate,129.0,ประชาชน,23574,1,ภาคเหนือ,แพร่,3,แพร่-3,82810,0.284675764,129,แพร่_3,เพื่อไทย
NAN_1,2569,CONS,candidate,129.0,ประชาชน,26359,1,ภาคเหนือ,น่าน,1,น่าน-1,92148,0.286050701,129,น่าน_1,เพื่อไทย
NAN_3,2569,CONS,candidate,129.0,ประชาชน,20029,1,ภาคเหนือ,น่าน,3,น่าน-3,76667,0.26124669,129,น่าน_3,เพื่อไทย
