district_id,year,ballot_code,region,province,district_number,district_label,eligible_voters,voters_used,valid_votes,invalid_votes,no_vote,turnout_rate
BKK_21,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร-21,136677,88211,84537,1407,2267,0.645397543
BKK_22,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร-22,133669,87232,80888,1419,4925,0.652597087
BKK_22,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร-22,133669,87319,83561,1401,2357,0.653247948
BKK_23,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23,144136,95094,89186,1016,4892,0.659751901
BKK_23,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23,144136,90844,87246,1242,2356,0.63026586
BKK_24,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร-24,142161,91552,84371,1800,5381,0.644002223
BKK_24,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร-24,142161,91523,87082,1702,2739,0.643798229
BKK_25,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร-25,126847,82288,77290,1348,3650,0.648718535
BKK_25,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร-25,126847,82302,78280,1811,2211,0.648828904
BKK_26,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร-26,139473,89312,82875,1707,4730,0.64035333
BKK_26,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร-26,139473,89327,84984,1947,2396,0.640460878
BKK_27,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร-27,134519,91070,85471,1503,4096,0.677004735
BKK_27,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร-27,134519,91070,86860,1721,2489,0.677004735
BKK_28,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร-28,139847,77195,71197,1534,4464,0.55199611
BKK_28,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร-28,139847,76799,73131,1463,2205,0.549164444
BKK_29,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร-29,144498,95801,88794,1762,5245,0.662991875
BKK_29,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร-29,144498,95693,90731,2254,2708,0.66224446
BKK_30,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร-30,143904,96587,89793,1438,5356,0.671190516
BKK_30,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร-30,143904,98344,93806,1828,2710,0.683400044
BKK_31,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร-31,143811,102192,93621,1887,6684,0.710599328
BKK_31,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร-31,143811,102329,96994,1977,3358,0.711551968
BKK_32,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร-32,139079,87928,80054,2145,5729,0.632216222
BKK_32,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร-32,139079,88018,83294,1992,2732,0.632863337
BKK_33,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร-33,148223,90725,83494,1884,5347,0.612084494
BKK_33,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร-33,148223,90680,86400,1664,2616,0.611780898
SPK_1,2569,CONS,ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ-1,130808,91637,82985,3986,4666,0.700545838
SPK_1,2569,PARTY,ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ-1,130808,91610,85893,2840,2877,0.700339429
SPK_2,2569,CONS,ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ-2,129020,89085,82529,2357,4199,0.690474345
SPK_2,2569,PARTY,ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ-2,129020,89327,83407,2883,3037,0.692350023
SPK_3,2569,CONS,ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ-3,141171,88659,81428,2232,4999,0.628025586
SPK_3,2569,PARTY,ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ-3,141171,91858,86591,2110,3157,0.650686047
SPK_4,2569,CONS,ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ-4,136475,90493,83459,1513,5521,0.663073823
SPK_4,2569,PARTY,ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ-4,136475,88654,84354,1482,2818,0.649598828
SPK_5,2569,CONS,ปริมณฑล,สมุทรปราการ,5,สมุทรปราการ-5,158700,98647,88948,2530,7169,0.621594203
SPK_5,2569,PARTY,ปริมณฑล,สมุทรปราการ,5,สมุทรปราการ-5,158700,98261,92666,1967,3628,0.619161941
SPK_6,2569,CONS,ปริมณฑล,สมุทรปราการ,6,สมุทรปราการ-6,129989,86953,80192,2553,4208,0.668925832
SPK_6,2569,PARTY,ปริมณฑล,สมุทรปราการ,6,สมุทรปราการ-6,129989,86781,80595,3198,2988,0.667602643
SPK_7,2569,CONS,ปริมณฑล,สมุทรปราการ,7,สมุทรปราการ-7,149428,99665,92193,2612,4860,0.666976738
SPK_7,2569,PARTY,ปริมณฑล,สมุทรปราการ,7,สมุทรปราการ-7,149428,99835,92883,3120,3832,0.66811441
SPK_8,2569,CONS,ปริมณฑล,สมุทรปราการ,8,สมุทรปราการ-8,150829,105164,96900,3255,5009,0.697239921
SPK_8,2569,PARTY,ปริมณฑล,สมุทรปราการ,8,สมุทรปราการ-8,150829,105857,98658,3831,3368,0.701834528
NBI_1,2569,CONS,ปริมณฑล,นนทบุรี,1,นนทบุรี-1,140032,92943,86108,1616,5219,0.663726862
NBI_1,2569,PARTY,ปริมณฑล,นนทบุรี,1,นนทบุรี-1,140032,92974,88453,1795,2726,0.66394824
NBI_2,2569,CONS,ปริมณฑล,นนทบุรี,2,นนทบุรี-2,124608,83203,76200,1692,5311,0.667717964
NBI_2,2569,PARTY,ปริมณฑล,นนทบุรี,2,นนทบุรี-2,124608,83341,78673,1706,2962,0.668825437
NBI_3,2569,CONS,ปริมณฑล,นนทบุรี,3,นนทบุรี-3,140981,80564,72712,1896,5956,0.571452891
NBI_3,2569,PARTY,ปริมณฑล,นนทบุรี,3,นนทบุรี-3,140981,80582,76001,1663,2918,0.571580568
NBI_4,2569,CONS,ปริมณฑล,นนทบุรี,4,นนทบุรี-4,127356,77244,71114,1765,4365,0.606520305
NBI_4,2569,PARTY,ปริมณฑล,นนทบุรี,4,นนทบุรี-4,127356,76645,72830,1383,2432,0.601816954
NBI_5,2569,CONS,ปริมณฑล,นนทบุรี,5,นนทบุรี-5,137859,98977,90970,2083,5924,0.717958204
NBI_5,2569,PARTY,ปริมณฑล,นนทบุรี,5,นนทบุรี-5,137859,99192,93698,2301,3193,0.719517768
NBI_6,2569,CONS,ปริมณฑล,นนทบุรี,6,นนทบุรี-6,144086,104901,94433,3445,7023,0.728044362
NBI_6,2569,PARTY,ปริมณฑล,นนทบุรี,6,นนทบุรี-6,144086,105037,98851,2426,3760,0.728988243
NBI_7,2569,CONS,ปริมณฑล,นนทบุรี,7,นนทบุรี-7,142478,94948,86506,2480,5962,0.666404638
NBI_7,2569,PARTY,ปริมณฑล,นนทบุรี,7,นนทบุรี-7,142478,94516,88525,2351,3640,0.663372591
NBI_8,2569,CONS,ปริมณฑล,นนทบุรี,8,นนทบุรี-8,136983,98052,90231,2125,5696,0.715796851
NBI_8,2569,PARTY,ปริมณฑล,นนทบุรี,8,นนทบุรี-8,136983,97806,91914,2622,3270,0.714001007
PTE_1,2569,CONS,ปริมณฑล,ปทุมธานี,1,ปทุมธานี-1,130700,96543,89538,2728,4277,0.738661056
PTE_1,2569,PARTY,ปริมณฑล,ปทุมธานี,1,ปทุมธานี-1,130700,96550,89994,3184,3372,0.738714614
PTE_2,2569,CONS,ปริมณฑล,ปทุมธานี,2,ปทุมธานี-2,128901,97616,92064,1936,3616,0.757294358
PTE_2,2569,PARTY,ปริมณฑล,ปทุมธานี,2,ปทุมธานี-2,128901,97498,91559,3080,2859,0.756378926
PTE_3,2569,CONS,ปริมณฑล,ปทุมธานี,3,ปทุมธานี-3,131743,88840,79693,2794,6353,0.674343229
PTE_3,2569,PARTY,ปริมณฑล,ปทุมธานี,3,ปทุมธานี-3,131743,88826,84046,1755,3025,0.674236961
PTE_4,2569,CONS,ปริมณฑล,ปทุมธานี,4,ปทุมธานี-4,132037,90732,83457,2367,4908,0.68717102
PTE_4,2569,PARTY,ปริมณฑล,ปทุมธานี,4,ปทุมธานี-4,132037,90682,85667,2348,2667,0.686792339
PTE_5,2569,CONS,ปริมณฑล,ปทุมธานี,5,ปทุมธานี-5,122740,80064,73781,1572,4711,0.652305687
PTE_5,2569,PARTY,ปริมณฑล,ปทุมธานี,5,ปทุมธานี-5,122740,80477,76234,1742,2501,0.655670523
PTE_6,2569,CONS,ปริมณฑล,ปทุมธานี,6,ปทุมธานี-6,122393,83592,77289,1644,4659,0.682980236
PTE_6,2569,PARTY,ปริมณฑล,ปทุมธานี,6,ปทุมธานี-6,122393,82927,79007,1415,2505,0.677546919
PTE_7,2569,CONS,ปริมณฑล,ปทุมธานี,7,ปทุมธานี-7,121843,87221,81575,2068,3578,0.715847443
PTE_7,2569,PARTY,ปริมณฑล,ปทุมธานี,7,ปทุมธานี-7,121843,87495,82177,2790,2528,0.718096239
PTE_8,2569,CONS,ปริมณฑล,ปทุมธานี,8,ปทุมธานี-8,122403,80495,73988,3095,3412,0.657622771
PTE_8,2569,PARTY,ปริมณฑล,ปทุมธานี,8,ปทุมธานี-8,122403,80956,75402,3088,2466,0.661389018
AYA_1,2569,CONS,ภาคกลาง,พระนครศรีอยุธยา,1,พระนครศรีอยุธยา-1,140188,99087,90908,3338,4841,0.706815134
AYA_1,2569,PARTY,ภาคกลาง,พระนครศรีอยุธยา,1,พระนครศรีอยุธยา-1,140188,98239,90094,4026,4119,0.700766114
AYA_2,2569,CONS,ภาคกลาง,พระนครศรีอยุธยา,2,พระนครศรีอยุธยา-2,128589,98074,90248,3371,4455,0.762693543
AYA_2,2569,PARTY,ภาคกลาง,พระนครศรีอยุธยา,2,พระนครศรีอยุธยา-2,128589,97628,88060,5460,4108,0.759225128
AYA_3,2569,CONS,ภาคกลาง,พระนครศรีอยุธยา,3,พระนครศรีอยุธยา-3,136493,100194,93292,3436,3466,0.734059622
